rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
188,Gary TrentMIN,2001-2002,PF,64,17.8,7.5,3,6,50.7,0,0,0,1.4,2.3,63.9,4.2,0.9,0.3,0.4,0.9,3,0,0
189,Jonathan BenderIND,2001-2002,SF,78,21.1,7.4,2.5,5.9,43,0.6,1.6,36,1.8,2.3,77.3,3.1,0.8,0.2,0.6,1.2,1,0,0
190,Chris MillsGS,2001-2002,SF,66,18.7,7.4,2.7,6.5,41.7,0.7,1.9,37.8,1.3,1.6,79.4,2.9,1.1,0.5,0.2,0.8,0,0,0
191,Charles A SmithSA,2001-2002,SG,60,19,7.4,3,7.1,42.5,0.6,2.2,26.7,0.7,1.1,64.6,2.2,1.3,0.9,0.7,1,0,0,0
192,Jake TsakalidisPHX,2001-2002,C,67,23.6,7.3,2.8,6,47.5,0,0,0,1.7,2.4,69.8,5.6,0.3,0.3,1,1.2,6,0,0
193,Calbert CheaneyDEN,2001-2002,SG,68,24,7.3,3.3,6.9,48.1,0,0.1,0,0.7,1,68.7,3.5,1.6,0.5,0.3,1,1,0,0
194,Aaron WilliamsNJ,2001-2002,C,82,18.9,7.2,2.8,5.4,52.6,0,0,0,1.6,2.3,69.9,4.1,0.9,0.4,0.9,1,0,0,0
195,Speedy ClaxtonPHI,2001-2002,PG,67,22.8,7.2,2.7,6.7,40,0.1,0.5,12.1,1.7,2,83.8,2.4,3,1.4,0.1,1.4,0,0,0
196,Hubert DavisWSH,2001-2002,SG,51,24.1,7.2,2.9,6.4,44.8,1.1,2.5,45.2,0.3,0.4,76.2,1.5,2.1,0.5,0.1,0.9,0,0,0
197,Adrian GriffinDAL,2001-2002,SG,58,23.8,7.2,3.1,6.2,49.9,0.3,0.9,29.6,0.7,0.8,83.7,3.9,1.8,1.3,0.2,0.7,0,0,0
198,Hakeem OlajuwonTOR,2001-2002,C,61,22.6,7.1,3.2,6.9,46.4,0,0,0,0.8,1.4,56,6,1.1,1.2,1.5,1.6,4,0,0
199,Monty WilliamsORL,2001-2002,SF,68,18.9,7.1,2.9,5.3,54.7,0,0.1,0,1.3,2,65.7,3.5,1.4,0.7,0.3,1.3,3,0,0
200,LaPhonso EllisMIA,2001-2002,F,66,25.5,7.1,2.9,6.8,41.8,0.6,1.9,30.6,0.8,1.3,63.1,4.3,0.8,0.5,0.6,1.1,0,0,0
201,Christian LaettnerWSH,2001-2002,PF,57,25.3,7.1,2.9,6.4,46.4,0,0.2,20,1.2,1.3,86.8,5.3,2.6,1.1,0.4,1.5,4,0,0
202,Devean GeorgeLAL,2001-2002,SF,82,21.5,7.1,2.6,6.4,41.1,0.8,2.2,37.1,1,1.5,67.5,3.7,1.4,0.9,0.5,0.8,0,0,0
203,Popeye JonesWSH,2001-2002,PF,79,24.3,7,2.8,6.4,43.7,0.1,0.1,36.4,1.3,1.6,81.5,7.3,1.6,0.6,0.2,1.1,11,0,0
204,Brevin KnightMEM,2001-2002,PG,53,21.7,7,2.7,6.3,42.2,0,0.2,25,1.6,2.2,75.7,2.1,5.7,1.5,0.1,2.1,7,0,0
205,Bruce BowenSA,2001-2002,SF,59,28.8,7,2.6,6.7,38.9,0.9,2.5,37.8,0.8,1.6,47.9,2.7,1.5,1.1,0.4,1.1,0,0,0
206,Zeljko RebracaDET,2001-2002,C,74,15.9,6.9,2.6,5.1,50.5,0,0,0,1.8,2.4,77.1,3.9,0.5,0.4,1,1.1,1,0,0
207,John CrottyUTAH,2001-2002,G,41,19.6,6.9,2.4,5.1,47.1,0.8,1.7,44.9,1.4,1.6,86.4,1.8,3.4,0.5,0,1.2,0,0,0
208,Tony BattieBOS,2001-2002,C,74,24.6,6.9,2.9,5.3,54.1,0,0,0,1.2,1.8,67.7,6.5,0.5,0.8,0.9,0.7,3,0,0
209,Predrag DrobnjakSEA,2001-2002,C,64,18.3,6.8,3,6.5,46.1,0,0,0,0.9,1.1,75.3,3.4,0.8,0.3,0.5,0.8,1,0,0
210,Robert HorryLAL,2001-2002,PF,81,26.4,6.8,2.3,5.7,39.8,0.9,2.5,37.4,1.3,1.7,78.3,5.9,2.9,1,1.1,1.1,5,0,0
211,Austin CroshereIND,2001-2002,PF,76,16.9,6.8,2.4,5.9,41.3,0.6,1.9,33.8,1.3,1.5,85.1,3.9,1,0.3,0.4,0.9,4,0,0
212,Eddy CurryCHI,2001-2002,NA,72,16,6.7,2.6,5.2,50.1,0,0,0,1.5,2.2,65.6,3.8,0.3,0.2,0.7,1,4,0,0
213,Vladimir RadmanovicSEA,2001-2002,SF,61,20.2,6.7,2.4,5.8,41.2,1.1,2.6,42,0.8,1.2,68.1,3.8,1.3,0.9,0.4,1.2,0,0,0
214,Scott PadgettUTAH,2001-2002,PF,75,17.3,6.7,2.5,5.3,47.6,0.7,1.5,43.4,1,1.4,73.5,3.8,1.1,0.6,0.2,0.9,2,0,0
214,Samaki WalkerLAL,2001-2002,PF,69,24,6.7,2.7,5.3,51.2,0,0,0,1.2,1.9,66.7,7,0.9,0.4,1.3,0.8,8,0,0
216,Dana BarrosDET,2001-2002,PG,29,20.1,6.7,2.6,6.6,38.5,0.8,2.4,33.8,0.7,0.9,77.8,2,2.7,0.5,0.1,1.1,0,0,0
217,Emanual DavisATL,2001-2002,G,28,27.6,6.6,2.5,7.1,35.4,1,3,34.1,0.6,0.6,88.9,2.6,2.4,1,0.2,1.9,0,0,0
